Sort name, Data order, Data size, Execution time (in milisecond), Comparisons
selection-sort, random data, 10000, 103.719400, 100010001
insertion-sort, random data, 10000, 54.886500, 50165046
bubble-sort, random data, 10000, 338.145800, 100004300
shell-sort, random data, 10000, 2.034900, 633789
shaker-sort, random data, 10000, 261.350500, 75497697
heap-sort, random data, 10000, 1.024000, 508766
merge-sort, random data, 10000, 1.994700, 430067
quick-sort, random data, 10000, 1.995600, 338967
counting-sort, random data, 10000, 0.000000, 60003
radix-sort, random data, 10000, 0.000000, 100054
flash-sort, random data, 10000, 0.000000, 117391
selection-sort, random data, 30000, 898.629100, 900030001
insertion-sort, random data, 30000, 483.732500, 447161338
bubble-sort, random data, 30000, 3145.736700, 900007048
shell-sort, random data, 30000, 5.020600, 2397431
shaker-sort, random data, 30000, 2367.650800, 677095377
heap-sort, random data, 30000, 7.014900, 1714805
merge-sort, random data, 30000, 5.020600, 1429766
quick-sort, random data, 30000, 5.016700, 1215532
counting-sort, random data, 30000, 0.000000, 179998
radix-sort, random data, 30000, 2.020700, 360067
flash-sort, random data, 30000, 2.014300, 354009
selection-sort, random data, 50000, 2459.457100, 2500050001
insertion-sort, random data, 50000, 1353.413400, 1245524563
bubble-sort, random data, 50000, 8788.454600, 2499972438
shell-sort, random data, 50000, 9.983200, 4407748
shaker-sort, random data, 50000, 6641.250700, 1884415032
heap-sort, random data, 50000, 11.974200, 3010363
merge-sort, random data, 50000, 8.937200, 2498200
quick-sort, random data, 50000, 8.024800, 2043671
counting-sort, random data, 50000, 1.043600, 282768
radix-sort, random data, 50000, 4.035100, 600067
flash-sort, random data, 50000, 3.036100, 580938
selection-sort, random data, 100000, 10037.747600, 10000100001
insertion-sort, random data, 100000, 5497.162800, 4997814737
bubble-sort, random data, 100000, 35808.714800, 9999945158
shell-sort, random data, 100000, 22.970300, 10202020
shaker-sort, random data, 100000, 27289.373400, 7543213377
heap-sort, random data, 100000, 26.944300, 6420023
merge-sort, random data, 100000, 18.982400, 5297970
quick-sort, random data, 100000, 17.951300, 4546739
counting-sort, random data, 100000, 0.998800, 532770
radix-sort, random data, 100000, 5.983000, 1200067
flash-sort, random data, 100000, 6.985600, 1135259
selection-sort, random data, 300000, 90831.397900, 90000300001
insertion-sort, random data, 300000, 51826.261300, 44938528039
bubble-sort, random data, 300000, 337768.488700, 90000215028
shell-sort, random data, 300000, 79.752100, 34443328
shaker-sort, random data, 300000, 254889.736200, 67503599901
heap-sort, random data, 300000, 92.751400, 21142838
merge-sort, random data, 300000, 63.829100, 17306327
