sort,time_10000,time_30000,time_50000,time_100000,time_300000,time_500000,comp_10000,comp_30000,comp_50000,comp_100000,comp_300000,comp_500000
selection-sort,101.729100,918.633400,2540.240000,10231.119900,92382.155700,257027.954300,100010001,900030001,2500050001,10000100001,90000300001,250000500001
insertion-sort,0.000000,0.000000,1.014000,1.030200,1.015000,2.027900,150602,545502,628054,761010,1190354,1923538
bubble-sort,104.753000,880.679300,1995.695900,4064.166700,12436.337500,23854.820900,95281550,808760638,1841075430,3752383194,11472287788,22097855728
shell-sort,1.000000,2.034700,2.991500,5.017800,16.998200,27.896700,401176,1280746,2282915,4692152,15449049,25672095
shaker-sort,0.000000,1.041100,1.996000,5.018400,8.974600,18.948000,219901,779857,1299857,2999805,7799857,16999745
heap-sort,2.023100,5.036200,9.974800,20.984500,69.848100,116.696800,533008,1781430,3126859,6664037,21852098,37799226
merge-sort,2.023700,3.039400,4.988100,11.001100,36.917200,61.839400,345483,1131168,1945072,3992784,12668958,21662449
quick-sort,1.025000,3.037400,5.008900,11.995500,38.940400,71.806300,327316,1232740,2022064,4282767,17235880,35143286
counting-sort,0.971900,0.000000,0.000000,2.026200,3.998800,5.987000,60003,180003,300003,600003,1800003,3000003
radix-sort,0.997800,2.991700,4.004100,7.015900,23.935900,37.897700,100054,360067,600067,1200067,4200080,7000080
flash-sort,0.997800,0.988700,2.018100,5.019300,14.921400,25.930000,112807,338399,563997,1128007,3384002,5639997
