sort,time_10000,time_30000,time_50000,time_100000,time_300000,time_500000,comp_10000,comp_30000,comp_50000,comp_100000,comp_300000,comp_500000
selection-sort,103.719400,898.629100,2459.457100,10037.747600,90831.397900,259809.299300,100010001,900030001,2500050001,10000100001,90000300001,250000500001
insertion-sort,54.886500,483.732500,1353.413400,5497.162800,51826.261300,152202.701200,50165046,447161338,1245524563,4997814737,44938528039,124910775413
bubble-sort,338.145800,3145.736700,8788.454600,35808.714800,337768.488700,950523.529600,100004300,900007048,2499972438,9999945158,90000215028,249999217444
shell-sort,2.034900,5.020600,9.983200,22.970300,79.752100,136.633900,633789,2397431,4407748,10202020,34443328,63041490
shaker-sort,261.350500,2367.650800,6641.250700,27289.373400,254889.736200,698824.190500,75497697,677095377,1884415032,7543213377,67503599901,187484998977
heap-sort,1.024000,7.014900,11.974200,26.944300,92.751400,160.570400,508766,1714805,3010363,6420023,21142838,36692804
merge-sort,1.994700,5.020600,8.937200,18.982400,63.829100,105.718800,430067,1429766,2498200,5297970,17306327,29907830
quick-sort,1.995600,5.016700,8.024800,17.951300,62.832100,117.640000,338967,1215532,2043671,4546739,15236551,29214941
counting-sort,0.000000,0.000000,1.043600,0.998800,3.004200,5.979300,60003,179998,282768,532770,1532771,2532771
radix-sort,0.000000,2.020700,4.035100,5.983000,19.948900,31.916200,100054,360067,600067,1200067,3600067,6000067
flash-sort,0.000000,2.014300,3.036100,6.985600,21.906500,36.868500,117391,354009,580938,1135259,3588680,6046648
