sort,time_10000,time_30000,time_50000,time_100000,time_300000,time_500000,comp_10000,comp_30000,comp_50000,comp_100000,comp_300000,comp_500000
selection-sort,98.781300,875.693500,2449.476400,9739.807600,87986.550400,244436.608300,100010001,900030001,2500050001,10000100001,90000300001,250000500001
insertion-sort,116.720400,1042.259900,2884.335300,11549.059100,103900.978300,288641.209500,100009999,900029999,2500049999,10000099999,90000299999,250000499999
bubble-sort,376.936500,3474.737700,9369.314400,37424.488400,337116.679700,939710.971400,100009999,900029999,2500049999,10000099999,90000299999,250000499999
shell-sort,1.000000,1.020800,3.024400,6.016300,24.933600,38.903600,475175,1554051,2844628,6089190,20001852,33857581
shaker-sort,355.050600,3212.445300,8956.292100,35514.477600,317620.435600,890868.892700,100019998,900059998,2500099998,10000199998,90000599998,250000999998
heap-sort,1.032600,5.011100,8.976600,19.979200,65.856000,111.701400,485075,1649112,2888832,6171509,20443133,35564898
merge-sort,1.042600,4.030400,6.028800,12.001500,34.927900,62.771900,322827,1066235,1849483,3898971,12632603,21860699
quick-sort,1.963100,3.990300,6.028300,12.997800,47.867600,103.755100,355887,1118587,1992785,4220223,16108000,33127904
counting-sort,0.000000,0.000000,0.000000,0.998200,3.990300,5.987600,60003,180003,300003,600003,1800003,3000003
radix-sort,0.000000,2.021400,3.031800,6.016300,21.938600,36.921000,100054,360067,600067,1200067,4200080,7000080
flash-sort,0.000000,1.993900,2.033900,5.020300,13.960500,23.935800,112806,338406,564006,1128006,3384006,5640006
