sort,time_10000,time_30000,time_50000,time_100000,time_300000,time_500000,comp_10000,comp_30000,comp_50000,comp_100000,comp_300000,comp_500000
selection-sort,101.760400,918.576400,2555.402900,10179.101200,92676.114400,256428.225900,100010001,900030001,2500050001,10000100001,90000300001,250000500001
insertion-sort,0.000000,0.000000,1.000300,1.000100,0.996900,1.994500,29998,89998,149998,299998,899998,1499998
bubble-sort,0.000000,0.000000,0.000000,0.000000,0.000000,0.997000,20000,60000,100000,200000,600000,1000000
shell-sort,0.000000,1.994200,1.996300,4.986800,15.965100,25.930700,360042,1170050,2100049,4500051,15300061,25500058
shaker-sort,0.000000,0.000000,1.000000,0.000000,0.950300,0.997300,20001,60001,100001,200001,600001,1000001
heap-sort,1.994800,5.996000,10.005600,20.975600,69.857900,115.690200,533373,1781548,3127047,6664226,21852070,37799186
merge-sort,1.031800,4.022600,5.019000,11.004300,38.916100,63.831200,321628,1052684,1838364,3876732,12570236,21542140
quick-sort,1.030700,3.027900,5.018100,11.003600,40.888900,70.764400,346280,1219305,1981438,4311329,17150903,33489049
counting-sort,0.000000,0.000000,1.030100,1.024200,4.035000,5.976400,60003,180003,300003,600003,1800003,3000003
radix-sort,0.000000,2.017900,3.016400,6.017900,21.937900,37.901400,100054,360067,600067,1200067,4200080,7000080
flash-sort,0.000000,1.024900,2.027300,5.021000,15.001100,23.938800,112804,338404,564004,1128004,3384004,5640004
